# CIK<->symbol point-in-time intervals. GENERATED by scripts/build_cik_map.py
# Sources + validation: see src/trading/venues/universes/sources/PROVENANCE.md.
# start inclusive, end exclusive, empty end = current EDGAR ticker.
symbol,cik,start,end
DUOL,1562088,2017-01-01,
DVA,927066,2017-01-01,
DVN,1090012,2017-01-01,
DWDP,1666700,2017-01-01,2019-06-03
DXC,1688568,2017-01-01,
DXCM,1093557,2017-01-01,
DY,67215,2017-01-01,
EA,712515,2017-01-01,
EAT,703351,2017-01-01,
EBAY,1065088,2017-01-01,
EBS,1367644,2017-01-01,
ECL,31462,2017-01-01,
ED,1047862,2017-01-01,
EEFT,1029199,2017-01-01,
EFX,33185,2017-01-01,
EG,1095073,2023-07-10,
EGP,49600,2017-01-01,
EHC,785161,2017-01-01,
EIX,827052,2017-01-01,
EL,1001250,2017-01-01,
ELAN,1739104,2017-01-01,
ELF,1600033,2017-01-01,
ELS,895417,2017-01-01,
ELV,1156039,2022-06-28,
EME,105634,2017-01-01,
EMN,915389,2017-01-01,
EMR,32604,2017-01-01,
ENOV,1420800,2017-01-01,
ENPH,1463101,2017-01-01,
ENR,1632790,2017-01-01,
ENS,1289308,2017-01-01,
ENSG,1125376,2017-01-01,
ENTG,1101302,2017-01-01,
EOG,821189,2017-01-01,
EPAM,1352010,2017-01-01,
EPC,1096752,2017-01-01,
EPR,1045450,2017-01-01,
EQH,1333986,2017-01-01,
EQIX,1101239,2017-01-01,
EQR,906107,2017-01-01,
EQT,33213,2017-01-01,
ERIE,922621,2017-01-01,
ES,72741,2017-01-01,
ESAB,1877322,2017-01-01,
ESNT,1448893,2017-01-01,
ESS,920522,2017-01-01,
ETN,1551182,2017-01-01,
ETR,65984,2017-01-01,
ETSY,1370637,2017-01-01,
EVR,1360901,2017-01-01,
EVRG,1711269,2017-01-01,
EW,1099800,2017-01-01,
EWBC,1069157,2017-01-01,
EXC,1109357,2017-01-01,
EXE,895126,2017-01-01,
EXEL,939767,2017-01-01,
EXLS,1297989,2017-01-01,
EXP,918646,2017-01-01,
EXPD,746515,2017-01-01,
EXPE,1324424,2017-01-01,
EXPO,851520,2017-01-01,
EXR,1289490,2017-01-01,
F,37996,2017-01-01,
FAF,1472787,2017-01-01,
FANG,1539838,2017-01-01,
FAST,815556,2017-01-01,
FB,1326801,2017-01-01,2022-06-09
FBHS,1519751,2017-01-01,2022-12-19
FBIN,1519751,2022-12-19,
FCFS,840489,2017-01-01,
FCN,887936,2017-01-01,
FCX,831259,2017-01-01,
FDS,1013237,2017-01-01,
FDX,1048911,2017-01-01,
FDXF,2082247,2017-01-01,
FE,1031296,2017-01-01,
FER,1468522,2017-01-01,
FFIN,36029,2017-01-01,
FFIV,1048695,2017-01-01,
FHI,1056288,2017-01-01,
FHN,36966,2017-01-01,
FICO,814547,2017-01-01,
FIS,1136893,2017-01-01,
FISV,798354,2017-01-01,
FITB,35527,2017-01-01,
FIVE,1177609,2017-01-01,
FIX,1035983,2017-01-01,
FLEX,866374,2017-01-01,
FLG,910073,2017-01-01,
FLO,1128928,2017-01-01,
FLR,1124198,2017-01-01,
FLS,30625,2017-01-01,
FMC,37785,2017-01-01,
FN,1408710,2017-01-01,
FNB,37808,2017-01-01,
FND,1507079,2017-01-01,
FNF,1331875,2017-01-01,
FOUR,1794669,2017-01-01,
FOX,1754301,2017-01-01,
FOXA,1754301,2017-01-01,
FOXF,1424929,2017-01-01,
FR,921825,2017-01-01,
FRT,34903,2017-01-01,
FSLR,1274494,2017-01-01,
FTI,1681459,2017-01-01,
FTNT,1262039,2017-01-01,
FTV,1659166,2017-01-01,
FULT,700564,2017-01-01,
G,1398659,2017-01-01,
GAP,39911,2017-01-01,
GATX,40211,2017-01-01,
GBCI,868671,2017-01-01,
GD,40533,2017-01-01,
GDDY,1609711,2017-01-01,
GDOT,1386278,2017-01-01,
GE,40545,2017-01-01,
GEF,43920,2017-01-01,
GEHC,1932393,2017-01-01,
GEN,849399,2017-01-01,
GEO,923796,2017-01-01,
GEV,1996810,2017-01-01,
GFS,1709048,2017-01-01,
GGG,42888,2017-01-01,
GHC,104889,2017-01-01,
GILD,882095,2017-01-01,
GIS,40704,2017-01-01,
GL,320335,2017-01-01,
GLPI,1575965,2017-01-01,
GLW,24741,2017-01-01,
GM,1467858,2017-01-01,
GME,1326380,2017-01-01,
GMED,1237831,2017-01-01,
GNRC,1474735,2017-01-01,
GNTX,355811,2017-01-01,
GNW,1276520,2017-01-01,
GO,1771515,2017-01-01,
GOOG,1652044,2017-01-01,
GOOGL,1652044,2017-01-01,
GPC,40987,2017-01-01,
GPK,1408075,2017-01-01,
GPN,1123360,2017-01-01,
GRMN,1121788,2017-01-01,
GS,886982,2017-01-01,
GT,42582,2017-01-01,
GTLS,892553,2017-01-01,
GTM,1794515,2017-01-01,
GVA,861459,2017-01-01,
GWRE,1528396,2017-01-01,
GWW,277135,2017-01-01,
GXO,1852244,2017-01-01,
H,1468174,2017-01-01,
HAE,313143,2017-01-01,
HAIN,910406,2017-01-01,
HAL,45012,2017-01-01,
HALO,1159036,2017-01-01,
HAS,46080,2017-01-01,
HBAN,49196,2017-01-01,
HCA,860730,2017-01-01,
HCP,765880,2017-01-01,2019-11-05
HCSG,731012,2017-01-01,
HD,354950,2017-01-01,
HE,354707,2017-01-01,
HELE,916789,2017-01-01,
HGV,1674168,2017-01-01,
HIG,874766,2017-01-01,
HII,1501585,2017-01-01,
HIMS,1773751,2017-01-01,
HIW,921082,2017-01-01,
HL,719413,2017-01-01,
HLI,1302215,2017-01-01,
HLNE,1433642,2017-01-01,
HLT,1585689,2017-01-01,
HNI,48287,2017-01-01,
HOG,793952,2017-01-01,
HOMB,1331520,2017-01-01,
HON,773840,2017-01-01,
HOOD,1783879,2017-01-01,
HP,46765,2017-01-01,
HPE,1645590,2017-01-01,
HPP,1482512,2017-01-01,
HPQ,47217,2017-01-01,
HQY,1428336,2017-01-01,
HR,1360604,2017-01-01,
HRB,12659,2017-01-01,
HRL,48465,2017-01-01,
HRS,202058,2017-01-01,2019-07-01
HSIC,1000228,2017-01-01,
HST,1070750,2017-01-01,
HSY,47111,2017-01-01,
HTZ,1657853,2017-01-01,
HUBB,48898,2017-01-01,
HUM,49071,2017-01-01,
HWC,750577,2017-01-01,
HWM,4281,2017-01-01,
HXL,717605,2017-01-01,
IART,917520,2017-01-01,
IBKR,1381197,2017-01-01,
IBM,51143,2017-01-01,
IBOC,315709,2017-01-01,
ICE,1571949,2017-01-01,
ICUI,883984,2017-01-01,
IDA,1057877,2017-01-01,
IDCC,1405495,2017-01-01,
IDXX,874716,2017-01-01,
IEX,832101,2017-01-01,
IFF,51253,2017-01-01,
ILMN,1110803,2017-01-01,
INCY,879169,2017-01-01,
INGN,1294133,2017-01-01,
INGR,1046257,2017-01-01,
INSM,1104506,2017-01-01,
INTC,50863,2017-01-01,
INTU,896878,2017-01-01,
INVH,1687229,2017-01-01,
IP,51434,2017-01-01,
IPGP,1111928,2017-01-01,
IQV,1478242,2017-01-01,
IR,1699150,2017-01-01,
IRDM,1418819,2017-01-01,
IRM,1020569,2017-01-01,
IRT,1466085,2017-01-01,
ISRG,1035267,2017-01-01,
IT,749251,2017-01-01,
ITT,216228,2017-01-01,
ITW,49826,2017-01-01,
IVZ,914208,2017-01-01,
J,52988,2017-01-01,
JACK,807882,2017-01-01,
JAZZ,1232524,2017-01-01,
JBGS,1689796,2017-01-01,
JBHT,728535,2017-01-01,
JBL,898293,2017-01-01,
JBLU,1158463,2017-01-01,
JCI,833444,2017-01-01,
JD,1549802,2017-01-01,
JEF,96223,2017-01-01,
JHG,1274173,2017-01-01,
JKHY,779152,2017-01-01,
JLL,1037976,2017-01-01,
JNJ,200406,2017-01-01,
JPM,19617,2017-01-01,
KBH,795266,2017-01-01,
KBR,1357615,2017-01-01,
KD,1867072,2017-01-01,
KDP,1418135,2017-01-01,
KEX,56047,2017-01-01,
KEY,91576,2017-01-01,
KEYS,1601046,2017-01-01,
KHC,1637459,2017-01-01,
KIM,879101,2017-01-01,
KKR,1404912,2017-01-01,
KLAC,319201,2017-01-01,
KMB,55785,2017-01-01,
KMI,1506307,2017-01-01,
KMPR,860748,2017-01-01,
KMT,55242,2017-01-01,
KMX,1170010,2017-01-01,
KNF,1955520,2017-01-01,
KNSL,1669162,2017-01-01,
KNX,1492691,2017-01-01,
KO,21344,2017-01-01,
KR,56873,2017-01-01,
KRC,1025996,2017-01-01,
KRG,1286043,2017-01-01,
KSS,885639,2017-01-01,
KTOS,1069258,2017-01-01,
KVUE,1944048,2017-01-01,
L,60086,2017-01-01,
LAD,1023128,2017-01-01,
LAMR,1090425,2017-01-01,
LB,1995807,2017-01-01,
LBTYA,1570585,2017-01-01,
LBTYK,1570585,2017-01-01,
LCID,1811210,2017-01-01,
LDOS,1336920,2017-01-01,
